# Force coefficients
# liftDir     : (0.000000e+00 0.000000e+00 1.000000e+00)
# dragDir     : (0.000000e+00 1.000000e+00 0.000000e+00)
# pitchAxis   : (0.000000e+00 1.000000e+00 0.000000e+00)
# magUInf     : 2.000000e+01
# lRef        : 1.000000e+00
# Aref        : 7.591940e+03
# CofR        : (7.200000e-01 0.000000e+00 0.000000e+00)
# Time        	Cm            	Cd            	Cl            	Cl(f)         	Cl(r)         
219           	-1.056407e+00	4.407966e-01	-5.855882e-01	-1.349201e+00	7.636132e-01
220           	-9.994058e-01	4.408281e-01	-5.835422e-01	-1.291177e+00	7.076347e-01
221           	-9.418835e-01	4.408904e-01	-5.814141e-01	-1.232591e+00	6.511765e-01
222           	-8.851343e-01	4.409867e-01	-5.791813e-01	-1.174725e+00	5.955437e-01
223           	-8.299146e-01	4.411179e-01	-5.768280e-01	-1.118329e+00	5.415006e-01
224           	-7.764126e-01	4.412845e-01	-5.743444e-01	-1.063585e+00	4.892404e-01
225           	-7.240586e-01	4.414847e-01	-5.717323e-01	-1.009925e+00	4.381925e-01
226           	-6.717572e-01	4.417159e-01	-5.689905e-01	-9.562524e-01	3.872619e-01
227           	-6.181033e-01	4.419756e-01	-5.661199e-01	-9.011632e-01	3.350433e-01
228           	-5.616875e-01	4.422609e-01	-5.631304e-01	-8.432527e-01	2.801223e-01
229           	-5.011265e-01	4.425652e-01	-5.600570e-01	-7.811551e-01	2.210980e-01
230           	-4.351042e-01	4.428657e-01	-5.569530e-01	-7.135808e-01	1.566277e-01
231           	-3.630218e-01	4.431644e-01	-5.539038e-01	-6.399737e-01	8.606989e-02
232           	-2.847289e-01	4.434452e-01	-5.509794e-01	-5.602186e-01	9.239198e-03
233           	-2.009181e-01	4.436916e-01	-5.482314e-01	-4.750337e-01	-7.319764e-02
234           	-1.135278e-01	4.438879e-01	-5.456751e-01	-3.863654e-01	-1.593098e-01
235           	-2.560952e-02	4.440250e-01	-5.432713e-01	-2.972452e-01	-2.460261e-01
236           	5.999488e-02	4.441033e-01	-5.409275e-01	-2.104689e-01	-3.304586e-01
237           	1.419766e-01	4.441345e-01	-5.385161e-01	-1.272815e-01	-4.112346e-01
238           	2.204116e-01	4.441368e-01	-5.359049e-01	-4.754085e-02	-4.883640e-01
239           	2.959659e-01	4.441307e-01	-5.329838e-01	2.947397e-02	-5.624578e-01
240           	3.687051e-01	4.441387e-01	-5.297110e-01	1.038496e-01	-6.335606e-01
241           	4.376055e-01	4.441812e-01	-5.261534e-01	1.745288e-01	-7.006822e-01
242           	5.013856e-01	4.442812e-01	-5.224828e-01	2.401442e-01	-7.626270e-01
243           	5.601327e-01	4.444155e-01	-5.188536e-01	3.007059e-01	-8.195595e-01
244           	6.150083e-01	4.445589e-01	-5.153741e-01	3.573212e-01	-8.726953e-01
245           	6.679255e-01	4.446835e-01	-5.120707e-01	4.118902e-01	-9.239609e-01
246           	7.207082e-01	4.447678e-01	-5.089049e-01	4.662558e-01	-9.751607e-01
247           	7.743711e-01	4.448027e-01	-5.058194e-01	5.214614e-01	-1.027281e+00
248           	8.288495e-01	4.447832e-01	-5.027592e-01	5.774700e-01	-1.080229e+00
249           	8.828040e-01	4.447386e-01	-4.997157e-01	6.329462e-01	-1.132662e+00
250           	9.345678e-01	4.446920e-01	-4.966982e-01	6.862188e-01	-1.182917e+00
251           	9.826410e-01	4.446652e-01	-4.937344e-01	7.357738e-01	-1.229508e+00
252           	1.026246e+00	4.446722e-01	-4.908547e-01	7.808191e-01	-1.271674e+00
253           	1.065389e+00	4.447178e-01	-4.880827e-01	8.213476e-01	-1.309430e+00
254           	1.100672e+00	4.447983e-01	-4.854312e-01	8.579565e-01	-1.343388e+00
255           	1.132816e+00	4.449052e-01	-4.829063e-01	8.913632e-01	-1.374269e+00
256           	1.162363e+00	4.450279e-01	-4.805113e-01	9.221074e-01	-1.402619e+00
257           	1.189543e+00	4.451566e-01	-4.782471e-01	9.504195e-01	-1.428667e+00
258           	1.214268e+00	4.452845e-01	-4.761132e-01	9.762111e-01	-1.452324e+00
259           	1.236307e+00	4.454082e-01	-4.741063e-01	9.992534e-01	-1.473360e+00
